,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Ryan Tannehill\TannRy00,TEN,21,27,270,1,1,1,9,46,105.2,2,6,1,4,0,0,0,0,0,0,0
Derrick Henry\HenrDe00,TEN,1,1,5,1,0,0,0,5,127.1,29,86,0,11,2,2,16,0,13,0,0
Darrynton Evans\EvanDa02,TEN,0,0,0,0,0,0,0,0,,2,7,0,5,2,2,11,0,6,0,0
Marcus Johnson\JohnMa07,TEN,0,0,0,0,0,0,0,0,,1,5,0,5,1,0,0,0,0,0,0
A.J. Brown\BrowAJ00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,9,8,133,1,46,0,0
Julio Jones\JoneJu02,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,38,0,20,0,0
MyCole Pruitt\PruiMy00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,27,1,22,0,0
Josh Reynolds\ReynJo00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,23,0,11,0,0
Jeremy McNichols\McNiJe00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0
Anthony Firkser\FirkAn00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Geoff Swaim\SwaiGe00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Logan Woodside\WoodLo00,TEN,0,0,0,0,0,0,0,0,,1,-1,0,-1,0,0,0,0,0,0,0